ID,latitude,longitude,district,address_offers,agent_offers,subway_offers,closest_subway,dist_to_subway,subway_grade,subway_dist_to_center,rooms,floor,max_floor,footage,material,repair,price,category_age
MAL10208,,37.54677,UZAO,1.0,,7.0,Kalininskaya,1122.0,,17040.0,Two Room,8.0,9.0,41.0,block,Enough,8500000.0,Old buildings
MAL10252,55.70116,37.564114,UZAO,1.0,25.0,2.0,Tekhnopark,988.0,Underground,6020.0,Two Room,1.0,8.0,40.2,brick,Good,14500000.0,Old buildings
MAL5635,55.685574,37.746499,UVAO,1.0,,2.0,Paveletskaya,730.0,Underground,11079.0,One Room,18.0,22.0,39.0,panel,Enough,8700000.0,Middle-aged buildings
MAL10081,55.874146,37.61284000000001,,1.0,1.0,15.0,Prazhskaya,1200.0,Underground,12480.0,Two Room,,,44.2,panel,Poor,8500000.0,Old buildings
MAL2760,55.8644659,37.6790922,SVAO,1.0,2.0,18.0,,1148.0,Underground,13519.0,Two Room,5.0,5.0,,brick,Good,14500000.0,Old buildings
MAL8026,,37.655445,SVAO,1.0,,7.0,Kuntsevskaya,295.0,Underground,11734.0,Two Room,1.0,5.0,41.0,brick,Good,10750000.0,Middle-aged buildings
MAL2523,55.707714,37.923363,UVAO,1.0,1.0,28.0,Dmitrievskaya,603.0,Underground,20323.0,Two Room,,17.0,54.6,panel,Enough,11170000.0,Young buildings
MAL3955,55.827024,37.43384,SZAO,2.0,69.0,5.0,Bittsevsky Park,571.0,Underground,13631.0,Two Room,4.0,5.0,57.0,brick,,10250000.0,Old buildings
MAL8252,55.6388,37.661365,UAO,1.0,1.0,10.0,Kurskaya,440.0,Underground,,Two Room,,17.0,57.9,panel,,11000000.0,Middle-aged buildings
MAL7761,,37.417645,ZAO,2.0,1.0,14.0,,694.0,Suburban rail,,One Room,7.0,17.0,,panel,Enough,9500000.0,Middle-aged buildings
MAL7138,55.8164417,37.494217600000006,SAO,1.0,1.0,2.0,,,Urban rail,10537.0,,4.0,5.0,30.4,brick,Enough,8200000.0,Old buildings
MAL9873,55.6836126,37.7284937,UVAO,1.0,1.0,7.0,Vystavochnaya,618.0,Underground,10096.0,One Room,5.0,9.0,32.4,panel,Enough,8450000.0,Old buildings
MAL4149,55.734805,37.668156,CAO,2.0,1.0,6.0,Kutuzovskaya,346.0,Underground,3888.0,Two Room,7.0,,42.0,panel,Poor,16000000.0,Old buildings
MAL10773,55.681001,37.45292,ZAO,1.0,1.0,14.0,Nagatinskaya,1264.0,,13867.0,One Room,9.0,14.0,39.0,panel,Excellent,9800000.0,Middle-aged buildings
MAL8147,55.7481209,37.7801019,VAO,1.0,1.0,13.0,,409.0,Underground,10558.0,Two Room,9.0,12.0,52.2,panel,Good,13500000.0,Middle-aged buildings
MAL3709,,37.863262,,1.0,1.0,5.0,Chekhovskaya,297.0,Underground,15575.0,One Room,11.0,17.0,37.7,panel,Enough,7700000.0,Middle-aged buildings
